央视频道,#genre#
CCTV-10,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV-11,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV-12,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV-13,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV-14,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV-15,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV-17,http://ygbh666.cn/aikmigu.php?id=cctv17
中央新影-发现之旅,http://ygbh666.cn/aikmigu.php?id=fxzl
中央新影-老故事,http://ygbh666.cn/aikmigu.php?id=lgs
中央新影-中学生,http://ygbh666.cn/aikmigu.php?id=zxs
CGTN纪录,http://ygbh666.cn/aikmigu.php?id=cgtnjl
CGTN西语,http://ygbh666.cn/aikmigu.php?id=cgtne
CGTN阿语,http://ygbh666.cn/aikmigu.php?id=cgtna
CGTN法语,http://ygbh666.cn/aikmigu.php?id=cgtnf
CGTN俄语,http://ygbh666.cn/aikmigu.php?id=cgtnr
CHC家庭影院,http://ygbh666.cn/aikmigu.php?id=chcjt
CHC动作电影,http://ygbh666.cn/aikmigu.php?id=chcdz


CCTV-1,http://rihou.cc:555/cqyx.php?id=cctv1
CCTV-2,http://rihou.cc:555/cqyx.php?id=cctv2
CCTV-3,http://rihou.cc:555/cqyx.php?id=cctv3
CCTV-4,http://rihou.cc:555/cqyx.php?id=cctv4
CCTV-5,http://rihou.cc:555/cqyx.php?id=cctv5
CCTV-5+,http://rihou.cc:555/cqyx.php?id=cctv5p
CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-7,http://rihou.cc:555/cqyx.php?id=cctv7
CCTV-8,http://rihou.cc:555/cqyx.php?id=cctv8
CCTV-9,http://rihou.cc:555/cqyx.php?id=cctv9
CCTV-10,http://rihou.cc:555/cqyx.php?id=cctv10
CCTV-11,http://rihou.cc:555/cqyx.php?id=cctv11
CCTV-12,http://rihou.cc:555/cqyx.php?id=cctv12
CCTV-13,http://rihou.cc:555/cqyx.php?id=cctv13
CCTV-14,http://rihou.cc:555/cqyx.php?id=cctv14
CCTV-15,http://rihou.cc:555/cqyx.php?id=cctv15
CCTV-16,http://rihou.cc:555/cqyx.php?id=cctv16
CCTV-17,http://rihou.cc:555/cqyx.php?id=cctv17
CCTV-4k,http://rihou.cc:555/cqyx.php?id=cctv4k



兵器科技频道,http://rihou.cc:555/cqyx.php?id=bqkj
第一剧场频道,http://rihou.cc:555/cqyx.php?id=dyjc
怀旧剧场频道,http://rihou.cc:555/cqyx.php?id=hjjc
风云剧场频道,http://rihou.cc:555/cqyx.php?id=fyjc
风云音乐频道,http://rihou.cc:555/cqyx.php?id=fyyy
风云足球频道,http://rihou.cc:555/cqyx.php?id=fyzq
女性时尚频道,http://rihou.cc:555/cqyx.php?id=nxss
文化精品频道,http://rihou.cc:555/cqyx.php?id=whjp
高尔网球频道,http://rihou.cc:555/cqyx.php?id=gefwq
央视台球频道,http://rihou.cc:555/cqyx.php?id=ystq
早期教育频道,http://rihou.cc:555/cqyx.php?id=zqjy
中国教育频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
中国教壹频道,http://rihou.cc:555/cqyx.php?id=cetv1
中国教肆频道,http://rihou.cc:555/cqyx.php?id=cetv4
中国天气频道,http://rihou.cc:555/cqyx.php?id=zgtq
中国书画频道,http://rihou.cc:555/cqyx.php?id=sh
CETV1台频道,http://117.161.12.124/live/program/live/zgjy1t8m/8000000/mnf.m3u8
CETV4台频道,http://117.161.12.124/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
五星体育频道,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
劲爆体育频道,http://117.161.12.124/live/program/live/jbtyhd8m/8000000/mnf.m3u8
新视觉hd频道,http://117.161.12.124/live/program/live/xsjhd8m/8000000/mnf.m3u8
魅力足球频道,http://rihou.cc:555/cqyx.php?id=mlxq
重温经典频道,http://rihou.cc:555/cqyx.php?id=cwjd
动作电影频道,http://rihou.cc:555/cqyx.php?id=chcdz
家庭影院频道,http://rihou.cc:555/cqyx.php?id=chcjt
影迷电影频道,http://rihou.cc:555/cqyx.php?id=chcgq

CCTV-1,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8
CCTV-2,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8
CCTV-4,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8
CCTV-5,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8
CCTV-6,http://60.223.224.176:8888/newlive/live/hls/8/live.m3u8
CCTV-7,http://60.223.224.176:8888/newlive/live/hls/9/live.m3u8
CCTV-8,http://60.223.224.176:8888/newlive/live/hls/10/live.m3u8
CCTV-9,http://60.223.224.176:8888/newlive/live/hls/11/live.m3u8
CCTV-10,http://60.223.224.176:8888/newlive/live/hls/12/live.m3u8
CCTV-11,http://60.223.224.176:8888/newlive/live/hls/13/live.m3u8
CCTV-12,http://60.223.224.176:8888/newlive/live/hls/14/live.m3u8
CCTV-13,http://60.223.224.176:8888/newlive/live/hls/15/live.m3u8
CCTV-14,http://60.223.224.176:8888/newlive/live/hls/16/live.m3u8
CCTV-15,http://60.223.224.176:8888/newlive/live/hls/17/live.m3u8
CCTV-16,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226095/index.m3u8






CHC高清电影,http://php.jdshipin.com:8880/cqyx.php?id=chcgqdyhd
CHC动作电影,http://php.jdshipin.com:8880/cqyx.php?id=chcdzdyhd
CHC家庭影院,http://php.jdshipin.com:8880/cqyx.php?id=chcjtyyhd










CCTV-1,http://fangke.blueswords.com:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://fangke.blueswords.com:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://fangke.blueswords.com:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://fangke.blueswords.com:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://fangke.blueswords.com:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://fangke.blueswords.com:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://fangke.blueswords.com:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://fangke.blueswords.com:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://fangke.blueswords.com:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://fangke.blueswords.com:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://fangke.blueswords.com:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://fangke.blueswords.com:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://fangke.blueswords.com:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://fangke.blueswords.com:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://fangke.blueswords.com:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0




















CETV-1,http://yuju666888.x3322.net:808/hls/204/index.m3u8








C高尔夫网球,http://yuju666888.x3322.net:808/hls/63/index.m3u8
现代教育,http://yuju666888.x3322.net:808/hls/126/index.m3u8




CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-13,http://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000




卫视频道,#genre#
东方卫视,http://ygbh666.cn/aikmigu.php?id=dfws
吉林卫视,http://ygbh666.cn/aikmigu.php?id=jlws
青海卫视,http://ygbh666.cn/aikmigu.php?id=qhws
陕西卫视,http://ygbh666.cn/aikmigu.php?id=sxws
湖北卫视,http://ygbh666.cn/aikmigu.php?id=hubws
江西卫视,http://ygbh666.cn/aikmigu.php?id=jxws
江苏卫视,http://ygbh666.cn/aikmigu.php?id=jsws
广东卫视,http://ygbh666.cn/aikmigu.php?id=gdws
湾区卫视,http://ygbh666.cn/aikmigu.php?id=dwqws
东方卫视,http://ttkx.live:55/lib/aikan.php?id=dfws
吉林卫视,http://ttkx.live:55/lib/aikan.php?id=jlws
青海卫视,http://ttkx.live:55/lib/aikan.php?id=qhws
陕西卫视,http://ttkx.live:55/lib/aikan.php?id=sxws
湖北卫视,http://ttkx.live:55/lib/aikan.php?id=hubws
江西卫视,http://ttkx.live:55/lib/aikan.php?id=jxws
江苏卫视,http://ttkx.live:55/lib/aikan.php?id=jsws
广东卫视,http://ttkx.live:55/lib/aikan.php?id=gdws
大湾区卫视,http://ttkx.live:55/lib/aikan.php?id=dwqws
海南卫视,http://ttkx.live:55/lib/aikan.php?id=hinws
重庆卫视,http://ttkx.live:55/lib/aikan.php?id=cqws
辽宁卫视,http://ttkx.live:55/lib/aikan.php?id=lnws
内蒙古卫视,http://ttkx.live:55/lib/aikan.php?id=nmws
宁夏卫视,http://ttkx.live:55/lib/aikan.php?id=nxws
甘肃卫视,http://ttkx.live:55/lib/aikan.php?id=gsws
山东卫视,http://ttkx.live:55/lib/aikan.php?id=sdws
湖南卫视,http://ttkx.live:55/lib/aikan.php?id=hunws
四川卫视,http://ttkx.live:55/lib/aikan.php?id=scws
新疆卫视,http://ttkx.live:55/lib/aikan.php?id=xjws
西藏卫视,http://ttkx.live:55/lib/aikan.php?id=xzws
四海钓鱼,http://ttkx.live:55/lib/aikan.php?id=shdy
江苏教育,http://ttkx.live:55/lib/aikan.php?id=jsjy
山东教育,http://ttkx.live:55/lib/aikan.php?id=sdjy

北京卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021288&livemode=1&stbId=3
河南卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031119/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031119
湖南卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032695&livemode=1&stbId=3
浙江卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3
江苏卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001828&livemode=1&stbId=3
东方卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000005866&livemode=1&stbId=3
安徽卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000030159&livemode=1&stbId=3
东南卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=3
广东卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3
广西卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019837&livemode=1&stbId=3
海南卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3
河北卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017118&livemode=1&stbId=3
黑龙江卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=3
湖北卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024621&livemode=1&stbId=3
吉林卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031117/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031117
江西卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=3
辽宁卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1&stbId=3
青海卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=3
山东卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=3
深圳卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=3
四川卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=3
天津卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003475&livemode=1&stbId=3
云南卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=3
重庆卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=3
甘肃卫视,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=3



北京卫视频道,http://rihou.cc:555/cqyx.php?id=bjws
东方卫视频道,http://rihou.cc:555/cqyx.php?id=dfws
浙江卫视频道,http://rihou.cc:555/cqyx.php?id=zjws
江苏卫视频道,http://rihou.cc:555/cqyx.php?id=jsws
湖南卫视频道,http://rihou.cc:555/cqyx.php?id=hunws
广东卫视频道,http://rihou.cc:555/cqyx.php?id=gdws
深圳卫视频道,http://rihou.cc:555/cqyx.php?id=szws
安徽卫视频道,http://rihou.cc:555/cqyx.php?id=ahws
东南卫视频道,http://rihou.cc:555/cqyx.php?id=dnws
天津卫视频道,http://rihou.cc:555/cqyx.php?id=tjws
辽宁卫视频道,http://rihou.cc:555/cqyx.php?id=lnws
海南卫视频道,http://rihou.cc:555/cqyx.php?id=hinws
江西卫视频道,http://rihou.cc:555/cqyx.php?id=jxws
湖北卫视频道,http://rihou.cc:555/cqyx.php?id=hubws
广西卫视频道,http://rihou.cc:555/cqyx.php?id=gxws
四川卫视频道,http://rihou.cc:555/cqyx.php?id=scws
河南卫视频道,http://rihou.cc:555/cqyx.php?id=hnws
贵州卫视频道,http://rihou.cc:555/cqyx.php?id=gzws
河北卫视频道,http://rihou.cc:555/cqyx.php?id=hbws
重庆卫视频道,http://rihou.cc:555/cqyx.php?id=cqws
新疆卫视频道,http://rihou.cc:555/cqyx.php?id=xjws
吉林卫视频道,http://rihou.cc:555/cqyx.php?id=jlws
兵团卫视频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
黑龙江视频道,http://rihou.cc:555/cqyx.php?id=hljws



三沙卫视,http://mdxgh.tpddns.cn:88/mdxgh/sansha
东南卫视,http://mdxgh.tpddns.cn:88/mdxgh/dongnan
云南卫视,http://mdxgh.tpddns.cn:88/mdxgh/yunnan
吉林卫视,http://mdxgh.tpddns.cn:88/mdxgh/jilin
四川卫视,http://mdxgh.tpddns.cn:88/mdxgh/sichuan
天津卫视,http://mdxgh.tpddns.cn:88/mdxgh/tianjin
山东卫视,http://mdxgh.tpddns.cn:88/mdxgh/shandong
广东卫视,http://mdxgh.tpddns.cn:88/mdxgh/guangdong
广西卫视,http://mdxgh.tpddns.cn:88/mdxgh/guangxi
新疆卫视,http://mdxgh.tpddns.cn:88/mdxgh/xinjiang
江苏卫视,http://mdxgh.tpddns.cn:88/mdxgh/jiangsu
浙江卫视,http://mdxgh.tpddns.cn:88/mdxgh/zhejiang
海南卫视,http://mdxgh.tpddns.cn:88/mdxgh/hainan
深圳卫视,http://mdxgh.tpddns.cn:88/mdxgh/shenzhen
湖北卫视,http://mdxgh.tpddns.cn:88/mdxgh/hubei
湖南卫视,http://mdxgh.tpddns.cn:88/mdxgh/hunan
西藏卫视,http://mdxgh.tpddns.cn:88/mdxgh/xizang
贵州卫视,http://mdxgh.tpddns.cn:88/mdxgh/guizhou
辽宁卫视,http://mdxgh.tpddns.cn:88/mdxgh/liaoning
重庆卫视,http://mdxgh.tpddns.cn:88/mdxgh/chongqing
青海卫视,http://mdxgh.tpddns.cn:88/mdxgh/qinghai
黑龙江卫视,http://mdxgh.tpddns.cn:88/mdxgh/heilongjiang
安徽卫视,http://mdxgh.tpddns.cn:88/mdxgh/anhui
陕西卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanxi1
河南卫视,http://mdxgh.tpddns.cn:88/mdxgh/henan
兵团卫视,http://mdxgh.tpddns.cn:88/mdxgh/bintuan
内蒙古卫视,http://mdxgh.tpddns.cn:88/mdxgh/neimenggu
宁夏卫视,http://mdxgh.tpddns.cn:88/mdxgh/ningxia
江西卫视,http://mdxgh.tpddns.cn:88/mdxgh/jiangxi
河北卫视,http://mdxgh.tpddns.cn:88/mdxgh/hebei
山西卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanxi2
东方卫视,http://mdxgh.tpddns.cn:88/mdxgh/dongfang
北京卫视,http://mdxgh.tpddns.cn:88/mdxgh/beijing
甘肃卫视,http://mdxgh.tpddns.cn:88/mdxgh/gansu
上海卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanghai
农林卫视,http://mdxgh.tpddns.cn:88/mdxgh/nonglin
厦门卫视,http://mdxgh.tpddns.cn:88/mdxgh/xiamen




















湖南卫视,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8
东方卫视,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
江苏卫视,http://60.223.224.176:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
北京卫视,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8
河南卫视,http://60.223.224.176:8888/newlive/live/hls/32/live.m3u8
湖北卫视,http://60.223.224.176:8888/newlive/live/hls/33/live.m3u8
山西卫视,http://60.223.224.176:8888/newlive/live/hls/43/live.m3u8










湖南卫视,http://ynxsj.7766.org:9901/tsfile/live/0128_1.m3u8?key=txiptv
上海卫视,http://ynxsj.7766.org:9901/tsfile/live/0107_1.m3u8?key=txiptv
江苏卫视,http://ynxsj.7766.org:9901/tsfile/live/0127_1.m3u8?key=txiptv
广西卫视,http://ynxsj.7766.org:9901/tsfile/live/0113_1.m3u8?key=txiptv
广东卫视,http://ynxsj.7766.org:9901/tsfile/live/0125_1.m3u8?key=txiptv
北京卫视,http://ynxsj.7766.org:9901/tsfile/live/0122_1.m3u8?key=txiptv
四川卫视,http://ynxsj.7766.org:9901/tsfile/live/0123_1.m3u8?key=txiptv
辽宁卫视,http://ynxsj.7766.org:9901/tsfile/live/0121_1.m3u8?key=txiptv
深圳卫视,http://ynxsj.7766.org:9901/tsfile/live/0126_1.m3u8?key=txiptv
安徽卫视,http://ynxsj.7766.org:9901/tsfile/live/0130_1.m3u8?key=txiptv
湖北卫视,http://ynxsj.7766.org:9901/tsfile/live/0132_1.m3u8?key=txiptv
天津卫视,http://ynxsj.7766.org:9901/tsfile/live/0135_1.m3u8?key=txiptv
陕西卫视,http://ynxsj.7766.org:9901/tsfile/live/0136_1.m3u8?key=txiptv
东南卫视,http://ynxsj.7766.org:9901/tsfile/live/0137_1.m3u8?key=txiptv
江西卫视,http://ynxsj.7766.org:9901/tsfile/live/0138_1.m3u8?key=txiptv
新疆卫视,http://ynxsj.7766.org:9901/tsfile/live/0110_1.m3u8?key=txiptv
重庆卫视,http://ynxsj.7766.org:9901/tsfile/live/0142_1.m3u8?key=txiptv
黑龙江卫视,http://ynxsj.7766.org:9901/tsfile/live/0143_1.m3u8?key=txiptv
内蒙古卫视,http://ynxsj.7766.org:9901/00000003/2/H_NMGWS?virtualDomain=00000003.live_hls.zte.com
河北卫视,http://ynxsj.7766.org:9901/00000003/2/H_HEBEI?virtualDomain=00000003.live_hls.zte.com
吉林卫视,http://ynxsj.7766.org:9901/tsfile/live/0116_1.m3u8?key=txiptv
山西卫视,http://ynxsj.7766.org:9901/00000003/2/H_SXWS?virtualDomain=00000003.live_hls.zte.com
河南卫视,http://ynxsj.7766.org:9901/tsfile/live/0139_1.m3u8?key=txiptv
贵州卫视,http://ynxsj.7766.org:9901/tsfile/live/0120_1.m3u8?key=txiptv
山东卫视,http://ynxsj.7766.org:9901/tsfile/live/0131_1.m3u8?key=txiptv
云南卫视,http://ynxsj.7766.org:9901/tsfile/live/0119_1.m3u8?key=txiptv


新疆卫视,http://60.10.139.10:8801/hls/59/index.m3u8
西藏卫视,http://60.10.139.10:8801/hls/58/index.m3u8
宁夏卫视,http://60.10.139.10:8801/hls/57/index.m3u8
青海卫视,http://60.10.139.10:8801/hls/56/index.m3u8
内蒙古卫视,http://60.10.139.10:8801/hls/55/index.m3u8
山西卫视,http://60.10.139.10:8801/hls/54/index.m3u8
陕西卫视,http://60.10.139.10:8801/hls/53/index.m3u8
广西卫视,http://60.10.139.10:8801/hls/52/index.m3u8
云南卫视,http://60.10.139.10:8801/hls/51/index.m3u8
吉林卫视,http://60.10.139.10:8801/hls/38/index.m3u8
贵州卫视,http://60.10.139.10:8801/hls/36/index.m3u8
河南卫视,http://60.10.139.10:8801/hls/32/index.m3u8
重庆卫视,http://60.10.139.10:8801/hls/31/index.m3u8
四川卫视,http://60.10.139.10:8801/hls/30/index.m3u8
湖北卫视,http://60.10.139.10:8801/hls/29/index.m3u8
辽宁卫视,http://60.10.139.10:8801/hls/28/index.m3u8
黑龙江卫视,http://60.10.139.10:8801/hls/27/index.m3u8
广东卫视,http://60.10.139.10:8801/hls/26/index.m3u8
山东卫视,http://60.10.139.10:8801/hls/25/index.m3u8






[港•澳•台],#genre#


凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰卫视,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
星空衛視,http://vl15191373.imwork.net:8880/udp/239.93.1.10:2193
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
TVB翡翠台,http://udpd.gdsz.eu.org:808/hls/25/index.m3u8#http://124.115.171.110:10086/hls/81/index.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=2&hq
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
凤凰电影台,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0

4K翡翠台,http://ali.hlspull.yximgs.com/live/1122qunnbshabibscbmlvmdbocnmkx44hdjhflhflddaagksh-9999546444-884f-52660dfb346liLecbcdncnpfhgkdfghdlivcctv9HDopdeafaiiiisgdbkasdfsbiiiilllll1ll1llllllllll1llllllldfsldfsfjlfjfdsklf4dlkfdfgksfhskfsfddlafakfhajdfsaad.flv
TVB无线新闻台,http://ali.hlspull.yximgs.com/live/1122qunnbshabibscbmlwuxianxwt548700eqoklhdjhflhflddaagksh-9999546444-884f-52660dfb346liLecbcdncnpfhgkdfghdlivcctv9HDopdeafaiiiisgdbkasdfsbiiiilllll1ll1llllllllll1llllllldfsldfsfjlfjfdsklf4dlkfdfgksfhskfsfddlafakfhajdfsaad.flv
TVB Plus,http://ali.hlspull.yximgs.com/live/1122qunnbshabibscbmlTvbjjj2eqoklhdjhflhflddaagksh-9999546444-884f-52660dfb346liLecbcdncnpfhgkdfghdlivcctv9HDopdeafaiiiisgdbkasdfsbiiiilllll1ll1llllllllll1llllllldfsldfsfjlfjfdsklf4dlkfdfgksfhskfsfddlafakfhajdfsaad.flv
TVB娱乐台,http://ali.hlspull.yximgs.com/live/1122qunnbshabibscbmlTTvbyulxwwwwl00eqoklhdjhflhflddaagksh-9999546444-884f-52660dfb346liLecbcdncnpfhgkdfghdlivcctv9HDopdeafaiiiisgdbkasdfsbiiiilllll1ll1llllllllll1llllllldfsldfsfjlfjfdsklf4dlkfdfgksfhskfsfddlafakfhajdfsaad.flv
TVB星河台,http://ali.hlspull.yximgs.com/live/1122qunnbshabibscbmlTTvbxhhhhhhp.flv
