
🍎官方提示,#genre#
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8

极速广告,#genre#
凤凰中文,http://8.134.82.80:777/two.php?key=hello&id=1
凤凰资迅,http://8.134.82.80:777/two.php?key=hello&id=2
凤凰香港,http://8.134.82.80:777/two.php?key=hello&id=3
HOY78,http://8.134.82.80:777/two.php?key=hello&id=4
HKC18台,http://8.134.82.80:777/two.php?key=hello&id=5
MYTV1,http://8.134.82.80:777/two.php?key=hello&id=6
无线新闻台,http://8.134.82.80:777/two.php?key=hello&id=7
翡翠台,http://8.134.82.80:777/two.php?key=hello&id=8
MYTV2,http://8.134.82.80:777/two.php?key=hello&id=9
明珠台,http://8.134.82.80:777/two.php?key=hello&id=10
TVBPlus,http://8.134.82.80:777/two.php?key=hello&id=11
娱乐新闻台,http://8.134.82.80:777/two.php?key=hello&id=12
星河,http://8.134.82.80:777/two.php?key=hello&id=13
ViuTV,http://8.134.82.80:777/two.php?key=hello&id=14
Now新闻台,http://8.134.82.80:777/two.php?key=hello&id=15
HOY76,http://8.134.82.80:777/two.php?key=hello&id=16
HOY77,http://8.134.82.80:777/two.php?key=hello&id=17
HOY78,http://8.134.82.80:777/two.php?key=hello&id=18
RTHK31,http://8.134.82.80:777/two.php?key=hello&id=19
RTHK32,http://8.134.82.80:777/two.php?key=hello&id=20
中天新闻,http://8.134.82.80:777/two.php?key=hello&id=21
东森新闻,http://8.134.82.80:777/two.php?key=hello&id=22
东森财经,http://8.134.82.80:777/two.php?key=hello&id=23
环宇新闻,http://8.134.82.80:777/two.php?key=hello&id=24
环宇新闻台湾台,http://8.134.82.80:777/two.php?key=hello&id=25
台视新闻,http://8.134.82.80:777/two.php?key=hello&id=26
中视新闻,http://8.134.82.80:777/two.php?key=hello&id=27
华视新闻,http://8.134.82.80:777/two.php?key=hello&id=28
TVBS新闻台,http://8.134.82.80:777/two.php?key=hello&id=29
NETS,http://8.134.82.80:777/two.php?key=hello&id=30
三立新闻,http://8.134.82.80:777/two.php?key=hello&id=31
镜新闻,http://8.134.82.80:777/two.php?key=hello&id=32
公视新闻,http://8.134.82.80:777/two.php?key=hello&id=33
民视新闻台,http://8.134.82.80:777/two.php?key=hello&id=34
momoTV,http://8.134.82.80:777/two.php?key=hello&id=35
民视台湾台,http://8.134.82.80:777/two.php?key=hello&id=36
影剧,http://8.134.82.80:777/two.php?key=hello&id=37
旅游,http://8.134.82.80:777/two.php?key=hello&id=38
综艺,http://8.134.82.80:777/two.php?key=hello&id=39
民视,http://8.134.82.80:777/two.php?key=hello&id=40
民视,http://8.134.82.80:777/two.php?key=hello&id=41
中视,http://8.134.82.80:777/two.php?key=hello&id=42
华视,http://8.134.82.80:777/two.php?key=hello&id=43
TVBS,http://8.134.82.80:777/two.php?key=hello&id=44
TVBS欢乐台,http://8.134.82.80:777/two.php?key=hello&id=45
中天亚洲台,http://8.134.82.80:777/two.php?key=hello&id=46
纬来体育,http://8.134.82.80:777/two.php?key=hello&id=47
纬来日本,http://8.134.82.80:777/two.php?key=hello&id=48

极速广告2,#genre#
无线翡翠台,http://185.81.28.58/🥝.php?id=ca9b19519b657d524c001ef858181b5d
无线明珠台,http://185.81.28.58/🥝.php?id=cadf460aacc566024c43c7c43091734c
无线生活台,http://185.81.28.58/🥝.php?id=77c4764dfdb53dcce1e0655b73e8bff0
无线星河台,http://185.81.28.58/🥝.php?id=a3ac097f949ef65cad4cf98c3b8c68bb
无线功夫台,http://185.81.28.58/🥝.php?id=f8b447ab6d47120a36e83ba78cbad622
天映经典台,http://185.81.28.58/🥝.php?id=95fbe855a1df5dc78b38a61bc64e7e9e
pₒₚc电影台,http://185.81.28.58/🥝.php?id=207f66479c7bc674042eafc3a84a1f83
now爆谷台,http://185.81.28.58/🥝.php?id=2f7f73063b6a69d8fd0d3f30a160ba2e
now星影台,http://185.81.28.58/🥝.php?id=44c87e7ae698b41e4bd6337676c349e8
now华剧台,http://185.81.28.58/🥝.php?id=2bbbd81fc6c51c7da97839701c0bd5b3
now剧集台,http://185.81.28.58/🥝.php?id=54799d0d4a8a5a23288e8538cb8033d6
now紫金台,http://185.81.28.58/🥝.php?id=bac6bee6383501272f8f9d614bc38c7e
now财经台,http://185.81.28.58/🥝.php?id=fc1bf388c4f67226b5604460d55f3418
now直播台,http://185.81.28.58/🥝.php?id=ae09426f66653b94f8c6415374147556
now英超粤,http://185.81.28.58/🥝.php?id=d1e4583914b85211fc0a5553b1fa9843

HK DTMB,#genre#
盗源狗si全家 全家下地狱
翡翠台,http://36.108.172.237:10112/stream/channelid/624921873?ticket=7bf31f4d673fe1d7b437a03b02f916a57fe86df5&profile=pass
ViuTVsix,http://36.108.172.237:10112/stream/channelid/584255659?ticket=407bf1cbfd410ab153a5695b261e4aab86611613&profile=pass
ViuTV,http://36.108.172.237:10112/stream/channelid/1057278312?ticket=dbaa428446b32f94f5c6f91f001e7577fb7f1eaf&profile=pass
明珠台,http://36.108.172.237:10112/stream/channelid/622247035?ticket=93a0fa8a4907bbd2cada7ee0c80495a44f6eee38&profile=pass
TVB Plus,http://36.108.172.237:10112/stream/channelid/391997962?ticket=ab108ad9fe112b3de25571768d3d419eeebfac77&profile=pass
無綫新聞台,http://36.108.172.237:10112/stream/channelid/257869613?ticket=6535229fb88e6b85a47ede759b55d74cbd473364&profile=pass
鳳凰衛視香港台,http://36.108.172.237:10112/stream/channelid/1781277999?ticket=0e34732c42f1f91804da667ec37b3150cc2beb89&profile=pass
翡翠台,http://36.108.172.237:10112/stream/channelid/434432781?ticket=89b5b8a6d1bc1d457950a8ba28fed02541b0bdab&profile=pass
ViuTVsix,http://36.108.172.237:10112/stream/channelid/118099569?ticket=0cdc90a53826d6286235cce57849c67154efa3e1&profile=pass
ViuTV,http://36.108.172.237:10112/stream/channelid/582930231?ticket=d9086c88938f345bdc763703f8f855f656a6dae7&profile=pass
明珠台,http://36.108.172.237:10112/stream/channelid/1170799565?ticket=4b644a24c7c2dbf8039dff083a3271088c9d13c5&profile=pass
TVB Plus,http://36.108.172.237:10112/stream/channelid/1260399416?ticket=df133dfa916ec0a203da04a6cc6460f286144332&profile=pass
無綫新聞台,http://36.108.172.237:10112/stream/channelid/303027461?ticket=17f8e23f70e17dd5c0aaf2f7dcf93d739437a5d1&profile=pass
HOY 國際財經台,http://36.108.172.237:10112/stream/channelid/1724233429?ticket=4af0da02004a9dbf38ce246ab667d92844ad78b5&profile=pass
HOY TV,http://36.108.172.237:10112/stream/channelid/62544884?ticket=cde9425ac5e932473b6e68232d2eec8bee4d4de8&profile=pass
HOY 資訊台,http://36.108.172.237:10112/stream/channelid/863956?ticket=4bcf98fe402142edd0816131c58bd291368d9892&profile=pass
明珠台,http://36.108.172.237:10112/stream/channelid/2119221351?ticket=3aea19a34e3ec386fdea5cad1756d87dcad48b5e&profile=pass
TVB Plus,http://36.108.172.237:10112/stream/channelid/1290795605?ticket=635eb66d565b04d4d3bf252696d3731a7ee19967&profile=pass
無綫新聞台,http://36.108.172.237:10112/stream/channelid/1641573285?ticket=d461ff446411e51f2af1d3cefd0fb197d0a318af&profile=pass
鳳凰衛視香港台,http://36.108.172.237:10112/stream/channelid/434573550?ticket=f292c2f7cf99a65dfbdbbd34689400b1da8a3e58&profile=pass

TW 酒店,#genre#
盗源狗si全家 全家下地狱
ELTV生活,http://shuma004.chunfengyun.top:8080/live/56/hls.m3u8
CRIME,http://shuma004.chunfengyun.top:8080/live/29/hls.m3u8
民視第一台,http://shuma004.chunfengyun.top:8080/live/4/hls.m3u8
民視台灣台,http://shuma004.chunfengyun.top:8080/live/5/hls.m3u8
龍華電影台,http://shuma004.chunfengyun.top:8080/live/19/hls.m3u8
CMUSIC音樂台,http://shuma004.chunfengyun.top:8080/live/72/hls.m3u8
博斯運動1,http://shuma004.chunfengyun.top:8080/live/14/hls.m3u8
TVBS歡樂台,http://shuma004.chunfengyun.top:8080/live/24/hls.m3u8
博斯高球1,http://shuma004.chunfengyun.top:8080/live/13/hls.m3u8
博斯网球,http://shuma004.chunfengyun.top:8080/live/16/hls.m3u8
東森新聞,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8
民视第一,http://shuma004.chunfengyun.top:8080/live/4/hls.m3u8
亚洲旅游,http://shuma004.chunfengyun.top:8080/live/10/hls.m3u8
东森新闻,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8
三立综合,http://shuma004.chunfengyun.top:8080/live/31/hls.m3u8
民视台湾,http://shuma004.chunfengyun.top:8080/live/5/hls.m3u8
龙华日韩,http://shuma004.chunfengyun.top:8080/live/42/hls.m3u8
龙华戏剧,http://shuma004.chunfengyun.top:8080/live/41/hls.m3u8
龙华电影,http://shuma004.chunfengyun.top:8080/live/19/hls.m3u8
中视经典,http://shuma004.chunfengyun.top:8080/live/47/hls.m3u8
中视青采,http://shuma004.chunfengyun.top:8080/live/48/hls.m3u8
寰宇台湾,http://shuma004.chunfengyun.top:8080/live/63/hls.m3u8
公视戏剧,http://shuma004.chunfengyun.top:8080/live/87/hls.m3u8
CINEMA WORLD,http://shuma004.chunfengyun.top:8080/live/30/hls.m3u8
全球财经,http://shuma004.chunfengyun.top:8080/live/64/hls.m3u8
華視新聞,http://shuma004.chunfengyun.top:8080/live/8/hls.m3u8
互動英語,http://shuma004.chunfengyun.top:8080/live/54/hls.m3u8
Nickelodeon,http://shuma004.chunfengyun.top:8080/live/12/hls.m3u8
CinemaWorld,http://shuma004.chunfengyun.top:8080/live/30/hls.m3u8
LOVE NATURE,http://shuma004.chunfengyun.top:8080/live/84/hls.m3u8
ROCK ACTION,http://shuma004.chunfengyun.top:8080/live/94/hls.m3u8
TECH STORM,http://shuma004.chunfengyun.top:8080/live/80/hls.m3u8
电视剧3,http://shuma004.chunfengyun.top:8080/live/111/hls.m3u8
哆啦A梦,http://shuma004.chunfengyun.top:8080/live/107/hls.m3u8
电视剧2,http://shuma004.chunfengyun.top:8080/live/109/hls.m3u8
镜新闻,http://shuma004.chunfengyun.top:8080/live/62/hls.m3u8
BLOOMBERG,http://shuma004.chunfengyun.top:8080/live/34/hls.m3u8
豬哥亮,http://shuma004.chunfengyun.top:8080/live/35/hls.m3u8
电视剧,http://shuma004.chunfengyun.top:8080/live/108/hls.m3u8
探案台,http://shuma004.chunfengyun.top:8080/live/11/hls.m3u8
DW NEWS,http://shuma004.chunfengyun.top:8080/live/46/hls.m3u8
HISTORY,http://shuma004.chunfengyun.top:8080/live/27/hls.m3u8
hokkotv,http://shuma004.chunfengyun.top:8080/live/1/hls.m3u8
电影,http://shuma004.chunfengyun.top:8080/live/11/hls.m3u8
民视,http://shuma004.chunfengyun.top:8080/live/6/hls.m3u8
中视,http://shuma004.chunfengyun.top:8080/live/7/hls.m3u8
华视,http://shuma004.chunfengyun.top:8080/live/8/hls.m3u8
影迷,http://shuma004.chunfengyun.top:8080/live/92/hls.m3u8
中視,http://shuma004.chunfengyun.top:8080/live/7/hls.m3u8
超人,http://shuma004.chunfengyun.top:8080/live/110/hls.m3u8
综艺,http://shuma004.chunfengyun.top:8080/live/67/hls.m3u8
影剧,http://shuma004.chunfengyun.top:8080/live/88/hls.m3u8
旅游,http://shuma004.chunfengyun.top:8080/live/82/hls.m3u8
民視,http://shuma004.chunfengyun.top:8080/live/6/hls.m3u8
KOREA,http://shuma004.chunfengyun.top:8080/live/52/hls.m3u8
TVBS,http://shuma004.chunfengyun.top:8080/live/23/hls.m3u8
ROCK,http://shuma004.chunfengyun.top:8080/live/70/hls.m3u8
HITS,http://shuma004.chunfengyun.top:8080/live/28/hls.m3u8
CNBC,http://shuma004.chunfengyun.top:8080/live/102/hls.m3u8
momo,http://shuma004.chunfengyun.top:8080/live/3/hls.m3u8
LUXE,http://shuma004.chunfengyun.top:8080/live/86/hls.m3u8
MTV,http://shuma004.chunfengyun.top:8080/live/25/hls.m3u8
MCE,http://shuma004.chunfengyun.top:8080/live/98/hls.m3u8
VOA,http://shuma004.chunfengyun.top:8080/live/45/hls.m3u8
elta生活旅游,http://shuma004.chunfengyun.top:8080/live/85/hls.m3u8
亞洲旅遊台,http://shuma004.chunfengyun.top:8080/live/10/hls.m3u8
靖洋戲劇台,http://shuma004.chunfengyun.top:8080/live/17/hls.m3u8
靖天電影台,http://shuma004.chunfengyun.top:8080/live/18/hls.m3u8
寰宇财经,http://shuma004.chunfengyun.top:8080/live/65/hls.m3u8
智林体育,http://shuma004.chunfengyun.top:8080/live/77/hls.m3u8
東森購物,http://shuma004.chunfengyun.top:8080/live/66/hls.m3u8
人间卫视,http://shuma004.chunfengyun.top:8080/live/101/hls.m3u8
八大綜合,http://shuma004.chunfengyun.top:8080/live/21/hls.m3u8
幸福空間,http://shuma004.chunfengyun.top:8080/live/26/hls.m3u8
東森購物,http://shuma004.chunfengyun.top:8080/live/61/hls.m3u8
博斯無限,http://shuma004.chunfengyun.top:8080/live/15/hls.m3u8
LIFE TIME,http://shuma004.chunfengyun.top:8080/live/71/hls.m3u8
動畫台,http://shuma004.chunfengyun.top:8080/live/57/hls.m3u8
新唐人,http://shuma004.chunfengyun.top:8080/live/51/hls.m3u8
TV5 MONDE,http://shuma004.chunfengyun.top:8080/live/9/hls.m3u8
PET CLUB,http://shuma004.chunfengyun.top:8080/live/81/hls.m3u8
FESTIVAL,http://shuma004.chunfengyun.top:8080/live/83/hls.m3u8
动漫2,http://shuma004.chunfengyun.top:8080/live/106/hls.m3u8
HakkaTV,http://shuma004.chunfengyun.top:8080/live/1/hls.m3u8
动漫,http://shuma004.chunfengyun.top:8080/live/105/hls.m3u8
nickjr,http://shuma004.chunfengyun.top:8080/live/22/hls.m3u8
CNBC,http://shuma004.chunfengyun.top:8080/live/102/hls.m3u8
居家,http://shuma004.chunfengyun.top:8080/live/26/hls.m3u8
GOOD2,http://shuma004.chunfengyun.top:8080/live/99/hls.m3u8
TiTV,http://shuma004.chunfengyun.top:8080/live/2/hls.m3u8

浙江有线,#genre#
盗源狗si全家 全家下地狱
CCTV1,http://ma.510217.xyz:39801/stream/channelid/1706722211?profile=pass
CCTV1 高清,http://ma.510217.xyz:39801/stream/channelid/1041953528?profile=pass
CCTV10,http://ma.510217.xyz:39801/stream/channelid/1665232957?profile=pass
CCTV10 高清,http://ma.510217.xyz:39801/stream/channelid/323573774?profile=pass
CCTV11,http://ma.510217.xyz:39801/stream/channelid/1914710655?profile=pass
CCTV11 高清,http://ma.510217.xyz:39801/stream/channelid/404866573?profile=pass
CCTV12,http://ma.510217.xyz:39801/stream/channelid/1734085284?profile=pass
CCTV12 高清,http://ma.510217.xyz:39801/stream/channelid/1779516227?profile=pass
CCTV17,http://ma.510217.xyz:39801/stream/channelid/1169642236?profile=pass
CCTV17高清,http://ma.510217.xyz:39801/stream/channelid/1843579652?profile=pass
CCTV2,http://ma.510217.xyz:39801/stream/channelid/411810583?profile=pass
CCTV2 高清,http://ma.510217.xyz:39801/stream/channelid/612280160?profile=pass
CCTV3,http://ma.510217.xyz:39801/stream/channelid/1492760547?profile=pass
CCTV3 高清,http://ma.510217.xyz:39801/stream/channelid/846140973?profile=pass
CCTV4,http://ma.510217.xyz:39801/stream/channelid/1481169435?profile=pass
CCTV4 高清,http://ma.510217.xyz:39801/stream/channelid/813537214?profile=pass
CCTV5,http://ma.510217.xyz:39801/stream/channelid/1169407458?profile=pass
CCTV5 高清,http://ma.510217.xyz:39801/stream/channelid/19485818?profile=pass
CCTV5+ 高清,http://ma.510217.xyz:39801/stream/channelid/874715854?profile=pass
CCTV6,http://ma.510217.xyz:39801/stream/channelid/2113176882?profile=pass
CCTV6 高清,http://ma.510217.xyz:39801/stream/channelid/103442703?profile=pass
CCTV7,http://ma.510217.xyz:39801/stream/channelid/2083123762?profile=pass
CCTV7 高清,http://ma.510217.xyz:39801/stream/channelid/1462738864?profile=pass
CCTV8,http://ma.510217.xyz:39801/stream/channelid/924176182?profile=pass
CCTV8 高清,http://ma.510217.xyz:39801/stream/channelid/1659635021?profile=pass
CCTV9 纪录,http://ma.510217.xyz:39801/stream/channelid/1145483586?profile=pass
CCTV9 高清,http://ma.510217.xyz:39801/stream/channelid/1353689775?profile=pass
CCTVnews,http://ma.510217.xyz:39801/stream/channelid/1892834992?profile=pass
CCTV少儿,http://ma.510217.xyz:39801/stream/channelid/861361934?profile=pass
CCTV少儿高清,http://ma.510217.xyz:39801/stream/channelid/1805667266?profile=pass
CCTV新闻,http://ma.510217.xyz:39801/stream/channelid/1512571560?profile=pass
CCTV新闻高清,http://ma.510217.xyz:39801/stream/channelid/659612820?profile=pass
CCTV音乐,http://ma.510217.xyz:39801/stream/channelid/742580489?profile=pass
CCTV音乐高清,http://ma.510217.xyz:39801/stream/channelid/851804659?profile=pass
CCTV16奥林匹克高清,http://ma.510217.xyz:39801/stream/channelid/1055968952?profile=pass
CHC高清电影,http://ma.510217.xyz:39801/stream/channelid/2065656004?profile=pass
Cine max,http://ma.510217.xyz:39801/stream/channelid/243134511?profile=pass
CNBC,http://ma.510217.xyz:39801/stream/channelid/2059310390?profile=pass
CNN,http://ma.510217.xyz:39801/stream/channelid/991808852?profile=pass
Discovery,http://ma.510217.xyz:39801/stream/channelid/1758009384?profile=pass
ESPN,http://ma.510217.xyz:39801/stream/channelid/1848295001?profile=pass
HaoXiangGouWu,http://ma.510217.xyz:39801/stream/channelid/1138792455?profile=pass
HBO,http://ma.510217.xyz:39801/stream/channelid/1360943345?profile=pass
NHK,http://ma.510217.xyz:39801/stream/channelid/1424966079?profile=pass
TV5,http://ma.510217.xyz:39801/stream/channelid/565096557?profile=pass
三沙卫视,http://ma.510217.xyz:39801/stream/channelid/1196515754?profile=pass
三沙卫视高清,http://ma.510217.xyz:39801/stream/channelid/2144530907?profile=pass
世界地理高清,http://ma.510217.xyz:39801/stream/channelid/143517322?profile=pass
东南卫视,http://ma.510217.xyz:39801/stream/channelid/1731343913?profile=pass
东南卫视高清,http://ma.510217.xyz:39801/stream/channelid/1604296053?profile=pass
东方卫视,http://ma.510217.xyz:39801/stream/channelid/627824880?profile=pass
东方卫视高清,http://ma.510217.xyz:39801/stream/channelid/2133623138?profile=pass
东方财经高清,http://ma.510217.xyz:39801/stream/channelid/991476106?profile=pass
中国教育1,http://ma.510217.xyz:39801/stream/channelid/97429600?profile=pass
中国教育1高清,http://ma.510217.xyz:39801/stream/channelid/327535945?profile=pass
中国教育4,http://ma.510217.xyz:39801/stream/channelid/2121069110?profile=pass
中文台(测试),http://ma.510217.xyz:39801/stream/channelid/1026420554?profile=pass
之江纪录,http://ma.510217.xyz:39801/stream/channelid/614712435?profile=pass
之江纪录,http://ma.510217.xyz:39801/stream/channelid/1297973666?profile=pass
乐游高清,http://ma.510217.xyz:39801/stream/channelid/838727822?profile=pass
优购物,http://ma.510217.xyz:39801/stream/channelid/416999433?profile=pass
兵器科技高清,http://ma.510217.xyz:39801/stream/channelid/92149576?profile=pass
兵团卫视,http://ma.510217.xyz:39801/stream/channelid/692730957?profile=pass
内蒙古卫视,http://ma.510217.xyz:39801/stream/channelid/1719326806?profile=pass
动感体育高清,http://ma.510217.xyz:39801/stream/channelid/1442350955?profile=pass
动感英超,http://ma.510217.xyz:39801/stream/channelid/857149501?profile=pass
动漫秀场高清,http://ma.510217.xyz:39801/stream/channelid/287050212?profile=pass
北京卫视,http://ma.510217.xyz:39801/stream/channelid/919988211?profile=pass
北京卫视高清,http://ma.510217.xyz:39801/stream/channelid/215524327?profile=pass
华数4K,http://ma.510217.xyz:39801/stream/channelid/786593922?profile=pass
华数服务,http://ma.510217.xyz:39801/stream/channelid/1519201311?profile=pass
华数服务高清,http://ma.510217.xyz:39801/stream/channelid/829876863?profile=pass
卡酷少儿,http://ma.510217.xyz:39801/stream/channelid/115189795?profile=pass
卫视体育台,http://ma.510217.xyz:39801/stream/channelid/940615024?profile=pass
卫视电影台,http://ma.510217.xyz:39801/stream/channelid/497586610?profile=pass
发现之旅,http://ma.510217.xyz:39801/stream/channelid/1468104960?profile=pass
吉林卫视,http://ma.510217.xyz:39801/stream/channelid/2001430799?profile=pass
吉林卫视高清,http://ma.510217.xyz:39801/stream/channelid/1011541903?profile=pass
四川卫视,http://ma.510217.xyz:39801/stream/channelid/2075801689?profile=pass
四川卫视高清,http://ma.510217.xyz:39801/stream/channelid/920428847?profile=pass
国家地理频道,http://ma.510217.xyz:39801/stream/channelid/38930579?profile=pass
天元围棋高清,http://ma.510217.xyz:39801/stream/channelid/1063183558?profile=pass
天津卫视,http://ma.510217.xyz:39801/stream/channelid/232738705?profile=pass
天津卫视高清,http://ma.510217.xyz:39801/stream/channelid/667740430?profile=pass
央广中国之声,http://ma.510217.xyz:39801/stream/channelid/33385387?profile=pass
央广经济之声,http://ma.510217.xyz:39801/stream/channelid/1161503850?profile=pass
央广购物,http://ma.510217.xyz:39801/stream/channelid/1659145610?profile=pass
央广音乐之声,http://ma.510217.xyz:39801/stream/channelid/1037809093?profile=pass
央视精品高清,http://ma.510217.xyz:39801/stream/channelid/827385813?profile=pass
好易购,http://ma.510217.xyz:39801/stream/channelid/1446608678?profile=pass
宁夏卫视,http://ma.510217.xyz:39801/stream/channelid/508856435?profile=pass
安徽卫视,http://ma.510217.xyz:39801/stream/channelid/902584769?profile=pass
安徽卫视高清,http://ma.510217.xyz:39801/stream/channelid/1206064859?profile=pass
家有购物,http://ma.510217.xyz:39801/stream/channelid/429649477?profile=pass
广东卫视,http://ma.510217.xyz:39801/stream/channelid/272862999?profile=pass
广东卫视高清,http://ma.510217.xyz:39801/stream/channelid/1893158335?profile=pass
快乐垂钓高清,http://ma.510217.xyz:39801/stream/channelid/1650494422?profile=pass
快乐购,http://ma.510217.xyz:39801/stream/channelid/1604413210?profile=pass
怀旧剧场高清,http://ma.510217.xyz:39801/stream/channelid/1466551982?profile=pass
新疆卫视,http://ma.510217.xyz:39801/stream/channelid/553044263?profile=pass
时尚购物,http://ma.510217.xyz:39801/stream/channelid/1532362393?profile=pass
星空卫视,http://ma.510217.xyz:39801/stream/channelid/1627572864?profile=pass
梨园高清,http://ma.510217.xyz:39801/stream/channelid/475353935?profile=pass
民生休闲,http://ma.510217.xyz:39801/stream/channelid/1469326497?profile=pass
求索纪录高清,http://ma.510217.xyz:39801/stream/channelid/1746199906?profile=pass
江苏卫视,http://ma.510217.xyz:39801/stream/channelid/121796097?profile=pass
江苏卫视高清,http://ma.510217.xyz:39801/stream/channelid/20089373?profile=pass
江西卫视,http://ma.510217.xyz:39801/stream/channelid/1272055370?profile=pass
江西卫视高清,http://ma.510217.xyz:39801/stream/channelid/959578184?profile=pass
河北卫视,http://ma.510217.xyz:39801/stream/channelid/1874748935?profile=pass
河北卫视高清,http://ma.510217.xyz:39801/stream/channelid/461052781?profile=pass
河南卫视,http://ma.510217.xyz:39801/stream/channelid/1584427052?profile=pass
河南卫视高清,http://ma.510217.xyz:39801/stream/channelid/1795491835?profile=pass
法治天地高清,http://ma.510217.xyz:39801/stream/channelid/1942406451?profile=pass
测试1,http://ma.510217.xyz:39801/stream/channelid/1955789186?profile=pass
测试2,http://ma.510217.xyz:39801/stream/channelid/1739618306?profile=pass
浙广城市之声,http://ma.510217.xyz:39801/stream/channelid/1804695102?profile=pass
浙广浙江之声,http://ma.510217.xyz:39801/stream/channelid/371137473?profile=pass
浙广音乐调频,http://ma.510217.xyz:39801/stream/channelid/1637658155?profile=pass
浙江公共,http://ma.510217.xyz:39801/stream/channelid/2077909743?profile=pass
